Month,FII_Net_Buy_Sell_RsCr,DII_Net_Buy_Sell_RsCr,Nifty_Closing,SIP_Contribution_RsCr
Apr-12,-1657.19,772.33,5248.15,
May-12,-2756.26,707.22,4924.25,
Jun-12,2537.39,1171.42,5278.9,
Jul-12,5902.95,-5270.67,5229,
Aug-12,7704,-4226.42,5258.5,
Sep-12,21182.44,-9027.22,5703.3,
Oct-12,8523.04,-4583.05,5619.7,
Nov-12,8061.43,-5238.24,5879.85,
Dec-12,14365.82,-8903.1,5905.1,
Jan-13,20410.43,-17541.62,6034.75,
Feb-13,9533.03,-8818.5,5693.05,
Mar-13,9423.07,-7872.45,5682.55,
Apr-13,4223.2,-2701.09,5930.2,
May-13,14464.13,-12048.33,5985.95,
Jun-13,-11425.41,8427.42,5842.2,
Jul-13,-414.48,-1540.85,5742,
Aug-13,-7470.47,6284.72,5471.8,
Sep-13,11235.53,-8877.93,5735.3,
Oct-13,17555.56,-12410.71,6299.15,
Nov-13,6956.37,-9147.17,6176.1,
Dec-13,13465.99,-7586.06,6304,
Jan-14,-1265.88,-1455.47,6089.5,
Feb-14,1059.13,286.95,6276.95,
Mar-14,25391.52,-13139.59,6704.2,
Apr-14,6283.17,-6859.04,6696.4,
May-14,14780.43,-4818.71,7229.95,
Jun-14,7524.47,-4604.35,7611.35,
Jul-14,6964.58,-3216.53,7721.3,
Aug-14,2681.47,2335.48,7954.35,
Sep-14,1503.09,-1136.99,7964.8,
Oct-14,-1695.25,4113.75,8322.2,
Nov-14,10945.59,-7271.34,8588.25,
Dec-14,-3931.43,5436.74,8282.7,
Jan-15,10606.25,-7881.77,8808.9,
Feb-15,6746.2,1711.88,8901.85,
Mar-15,6580.67,194.76,8491,
Apr-15,7864.4,11511.46,8181.5,
May-15,-4796.25,8582.26,8433.65,
Jun-15,-8192.92,12026.55,8368.5,
Jul-15,922.39,737.36,8532.85,
Aug-15,-19324.17,16248.42,7971.3,
Sep-15,-11279.32,10273.06,7948.9,
Oct-15,3318.39,-2359.75,8065.8,
Nov-15,-9029.81,8499.98,7935.25,
Dec-15,-2360.02,6327.64,7946.35,
Jan-16,-14356.01,12874.9,7563.55,
Feb-16,-12513.12,10491.61,6987.05,
Mar-16,23049.9,-15740.29,7738.4,
Apr-16,3056.51,-2328.28,7849.8,3122
May-16,-186.58,7142.75,8160.1,3189
Jun-16,3957.95,-2173.55,8287.75,3310
Jul-16,10122.69,-6054.6,8638.5,3334
Aug-16,8778.27,-4406.31,8786.2,3497
Sep-16,3329.62,1999.22,8611.15,3698
Oct-16,-5770.19,7906.35,8625.7,3434
Nov-16,-19982.37,18277.03,8224.5,3884
Dec-16,-11325.28,9136.09,8185.8,3973
Jan-17,-1582.18,4748.97,8561.3,4095
Feb-17,8704.46,935.26,8879.6,4050
Mar-17,26473.17,-4395.61,9173.75,4335
Apr-17,-6627.56,9247.43,9304.05,4269
May-17,-452.54,4277.06,9621.25,4584
Jun-17,-3759.32,6527.57,9520.9,4744
Jul-17,1464.85,4786.37,10077.1,4947
Aug-17,-15995.63,16205.22,9917.9,5206
Sep-17,-23969.97,21025.53,9788.6,5516
Oct-17,-7826.53,10090.91,10335.3,5621
Nov-17,-13514.78,9243.21,10226.55,5893
Dec-17,-6411.57,8142.88,10530.7,6222
Jan-18,9568,398.73,11027.7,6644
Feb-18,-18619.15,17813.01,10492.85,6425
Mar-18,7904.85,6693.91,10113.7,7119
Apr-18,-9285.38,8511.33,10739.35,6690
May-18,-12359.71,15054.48,10736.15,7304
Jun-18,-10249.17,14146.15,10714.3,7554
Jul-18,-3973.87,4491.44,11356.5,7554
Aug-18,-2228.53,2822.72,11680.5,7658
Sep-18,-9468.68,12504.04,10930.45,7727
Oct-18,-29201.2,26033.9,10386.6,7985
Nov-18,5282.86,800.3,10876.75,7985
Dec-18,-1103.37,375.55,10862.55,8022
Jan-19,127.67,2146.87,10830.95,8064
Feb-19,13564.57,-565.89,10792.5,8095
Mar-19,32371.43,-13930.25,11623.9,8055
Apr-19,12749.55,-4219.46,11748.15,8238
May-19,-2136.28,5316.34,11922.8,8183
Jun-19,-688.5,3643.31,11788.85,8122
Jul-19,-16870.13,20394.52,11118,8324
Aug-19,-14828.76,20933.59,11023.25,8231
Sep-19,-6624.05,12490.81,11474.45,8263
Oct-19,8595.66,4729.76,11877.45,8246
Nov-19,12924.93,-7970.29,12056.05,8273
Dec-19,694.12,-740.76,12168.45,8518
Jan-20,-5412.06,2249.55,11962.1,8532
Feb-20,-12684.3,16933.03,11201.75,8513
Mar-20,-65816.7,55595.18,8597.75,8641
Apr-20,-5209.15,-824.73,9859.9,8376
May-20,13178.96,11356.1,9580.3,8123
Jun-20,5492.95,2434.4,10302.1,7917
Jul-20,2490.19,-10007.88,11073.45,7831
